Item Code,Item Description,Strength,Dosage Form,Category
HH027600,Catheter Foleys retention 30cc FG 18,1,N/A,Surgical equipment
HH027900,Catheter Foleys retention 30cc FG 20,1,N/A,Surgical equipment
HH028200,Catheter Foleys retention 30cc FG 22,1,N/A,Surgical equipment
HH028500,Catheter Foleys retention 30cc FG 24,1,N/A,Surgical equipment
HH029400,Catheter Foleys retention 3-5cc FG 10 (with introducer) 2 way,1,N/A,Surgical equipment
HH029700,Catheter Foleys retention 3-5cc FG 12 (with introducer) 2,1,NA,Surgical equipment
HH030000,Catheter Foleys retention 3-5cc FG 8 (with introducer) 2 way,1,N/A,Surgical equipment
HH030600,Catheter Foleys retention 5-10cc FG 16 2 way,1,N/A,Surgical equipment
HH031500,Catheter Foleys retention 5cc FG 16,1,N/A,Surgical equipment
HH031800,Catheter Foleys retention 5cc FG 18,1,N/A,Surgical equipment
HH032100,Catheter Foleys retention 5cc FG 20,1,N/A,Surgical equipment
HH032700,Catheter Foleys retention 5cc FG 8,1,N/A,Surgical equipment
HH033300,Catheter Foleys suction 53cm FG 14,1,NA,Surgical equipment
HH033900,Catheter Foleys suction 53cm FG 18,1,N/A,Surgical equipment
HH035100,Cawthorne cerumen probe,1,N/A,Surgical equipment
HH035400,Central lines three way channel,1,N/A,Surgical equipment
HH035700,Chest drainage set (disposable),1,N/A,Surgical equipment
HH036000,Chest drainage set including tube and re-usable calibrated bottle with red rubber top and with 2 transparent glass tubes straight and right angled,1,N/A,Surgical equipment
HH036300,Chest Drainage Without Introducers,1,N/A,Surgical equipment
HH039000,"Clips, umbilical cord, polythene",1,N/A,Surgical equipment
HH039600,Cole neonatal tube PVC size 2.5mm,1,N/A,Surgical equipment
HH042600,"Currette, short blunt large",1,N/A,Surgical equipment
HH042900,"Currette, short blunt small",1,N/A,Surgical equipment
HH043200,"Currette, uterine, rigid, shank, sharp size 1 (small)",1,N/A,Surgical equipment
HH043500,"Currette, uterine, rigid, shank, sharp size 5 (medium)",1,N/A,Surgical equipment
HH044400,Delivery set,1,N/A,Surgical equipment
HH045000,Dental unit complete system (Belmont),1,N/A,Surgical equipment
HH045300,"Diagnostic set, spare bulb (Gowlands)",1,N/A,Surgical equipment
HH045600,"Diagnostic set, with metal battery handle (Gowlands)",1,N/A,Surgical equipment
HH046500,Dilator Hagars set,1,N/A,Surgical equipment
HH048300,Ear moulds,1,N/A,Surgical equipment
HH048600,ECG electrodes adhensive for 3 rigg machine (without jelly),1,N/A,Surgical equipment
HH048900,ECG paper for printing,1,N/A,Surgical equipment
HH048950,ECG Ultra Sound Jelly,1,NA,Surgical equipment
HH050100,Electric Suction Machine,1,N/A,Surgical equipment
HH051900,Endotracheal PVC tube 15mm adaptor size 3mm,1,NA,Surgical equipment
HH052800,Endotracheal PVC tube 15mm adaptor size 5.5mm,1,N/A,Surgical equipment
HH053100,Endotracheal PVC tube 15mm adaptor size 5mm,1,N/A,Surgical equipment
HH053700,Endotracheal PVC tube 15mm adaptor size 6mm,1,N/A,Surgical equipment
HH054300,Endotracheal PVC tube 15mm adaptor size 7mm,1,N/A,Surgical equipment
HH054600,Endotracheal PVC tube 15mm adaptor size 8.5mm,1,N/A,Surgical equipment
HH054900,Endotracheal tube cleaning brush,1,N/A,Surgical equipment
HH062100,"Forceps dressing (Adsons)serrated,delicate (125mm)",1,N/A,Surgical equipment
HH064800,Forceps mosquito straight,1,N/A,Surgical equipment
HH065700,Forceps nickel suture extracting,1,NA,Surgical equipment
HH068100,Forceps steriliser (Cheatles),1,N/A,Surgical equipment
HH069900,"Forceps towel holding (Towel Clip), lock screw (89mm)",1,N/A,Surgical equipment
HH070200,Forceps tracheal (Magills) adult,1,N/A,Surgical equipment
HH070500,Forceps tracheal (Magills) child,1,N/A,Surgical equipment
HH072000,"Forceps vulsellum (Lahey's), 3/4 teeth, 240mm",1,N/A,Surgical equipment
HH072300,"Forceps vulsellum (Teales), curved, 3/4 teeth, 240mm",1,N/A,Surgical equipment
HH075600,Giving set adult iv administration + needle 15 drops/ml,1,N/A,Surgical equipment
HH075601,IV Giving Sets 20 drops,1,NA,Surgical equipment
HH075900,Giving set paed iv administration + needle 60 drops/ml,1,N/A,Surgical equipment
HH076200,Giving sets IV (paediatric) with calibrated burrette,1,NA,Surgical equipment
HH076500,Giving sets IV (paediatric) with volume regulator between 10ml-250ml,1,N/A,Surgical equipment
HH076800,Glove disposable non powered latex large,1,N/A,Surgical equipment
HH077100,Glove disposable non powered latex medium,1,N/A,Surgical equipment
HH077150,Powder Free Gloves (Small),1,NA,Surgical equipment
HH077400,Glove disposable powdered latex large,1,N/A,Surgical equipment
HH077700,Glove disposable powdered latex medium,1,N/A,Surgical equipment
HH078000,Glove gynaecological elbow length large,1,N/A,Surgical equipment
HH078300,Glove gynaecological elbow length medium,1,N/A,Surgical equipment
HH078900,Glove postmortem size 7?,1,N/A,Surgical equipment
HH079200,Glove postmortem size 8,1,N/A,Surgical equipment
HH080100,Glove surgeons size 6? sterile,1,N/A,Surgical equipment
HH080400,Glove surgeons size 7 sterile,1,N/A,Surgical equipment
HH080700,Glove surgeons size 7 1/2 sterile,1,N/A,Surgical equipment
HH081000,Glove surgeons size 8 sterile,1,N/A,Surgical equipment
HH081300,Glove surgeons size 8? sterile,1,N/A,Surgical equipment
HH082200,Gloves heavy duty large,1,N/A,Surgical equipment
HH082840,Guedel Airway (oral pharyngeal) 0,1,NA,Surgical equipment
HH082850,Guedel Airway (oral pharyngeal) 3,1,NA,Surgical equipment
HH082851,Guedel Airway (oral pharyngeal) 1,1,NA,Surgical equipment
HH082852,Guedel Airway (oral pharyngeal) 2,1,NA,Surgical equipment
HH082853,Guedel Airway (oral pharyngeal) 4,1,NA,Surgical equipment
HH083100,"Hammer, patella",1,N/A,Surgical equipment
HH084310,Head covers,1,NA,Surgical equipment
HH088200,Infusion Pump for IV medication,1,NA,Surgical equipment
HH088550,Introducer for catheter 5.5,1,NA,Surgical equipment
HH090000,K Y jelly,1,N/A,Surgical equipment
HH091200,Kidney Dialyzer (11 13 15 17 19) MediumFlux,1,NA,Surgical equipment
HH091800,Knife skin grafting handle,1,N/A,Surgical equipment
HH093600,Laryngeal mask airway (LMA) 1 PVC/Silicon,1,N/A,Surgical equipment
HH093900,Laryngeal mask airway (LMA) 2 PVC/Silicon,1,N/A,Surgical equipment
HH094500,Laryngeal mask airway (LMA) 4 PVC/Silicon,1,N/A,Surgical equipment
HH094800,Laryngeal mask airway (LMA) 5 PVC/Silicon,1,N/A,Surgical equipment
HH095100,"Laryngoscope Macintosh, blade,curved, hookfitting,adult (130mm) Size3",1,N/A,Surgical equipment
HH095700,"Laryngoscope Macintosh, blade,curved, hookfitting,child(114mm) Size 1",1,N/A,Surgical equipment
HH096300,"Laryngoscope Macintosh, blade,curved, hookfitting,infant(90mm) Size 0",1,N/A,Surgical equipment
HH098100,Laryngoscope size 3,1,N/A,Surgical equipment
HH098400,Laryngoscope size 4,1,N/A,Surgical equipment
HH098700,Lemperts mastoid curette,1,N/A,Surgical equipment
HH099600,Manual vacuum aspirator set,1,NA,Surgical equipment
HH099900,Mask anaesthetic Ambu size 0 transparent with scent,1,N/A,Surgical equipment
HH100500,Mask anaesthetic Ambu size 0A,1,N/A,Surgical equipment
HH101100,Mask anaesthetic Ambu size 2 transparent with scent,1,N/A,Surgical equipment
HH101700,Mask anaesthetic Ambu size 4 transparent,1,N/A,Surgical equipment
HH102000,Mask anaesthetic Ambu size 5,1,N/A,Surgical equipment
HH102300,Mask face disposable paper 2-ply,1,N/A,Surgical equipment
HH104100,"Myoma screw (Doyens), for use per vagina, 170mm",1,N/A,Surgical equipment
HH104400,N95 Face Masks,1,N/A,Surgical equipment
HH104450,"Nasal Prongs, Adult",1,NA,Surgical equipment
HH104451,"Nasal Prongs, Paedriatric",1,NA,Surgical equipment
HH104700,Neck colars,1,N/A,Surgical equipment
HH105600,Needle disposable Luer 23g x 2.5cm,1,N/A,Surgical equipment
HH105650,Needle hypo-luer 19 swg,1,NA,Surgical equipment
HH106800,Needle lumbar puncture Luer 20g x 10cm,1,N/A,Surgical equipment
HH107100,Needle lumbar puncture Luer 20g x 8cm,1,N/A,Surgical equipment
HH107400,Needle lumbar puncture Luer 21g x 8cm,1,N/A,Surgical equipment
HH107450,Needle spinal disposable Luer 22g x 10cm cutting bevel/penci,1,NA,Surgical equipment
HH107700,Needle lumbar puncture Luer 23 g x 3 cm,1,N/A,Surgical equipment
HH107755,Needle spinal disposable Luer 20g x 10cm cutting bevel/penci,1,NA,Surgical equipment
HH108000,Needle spinal disposable Luer 23g x 10cm cutting bevel/pencil point,1,N/A,Surgical equipment
HH108300,Needle spinal disposable Luer 24g x 10cm cutting bevel/pencil point,1,N/A,Surgical equipment
HH108600,Needle spinal disposable Luer 25g(With a 20g introducer) x 10cm cutting bevel/pencil point,1,N/A,Surgical equipment
HH108650,"Needle, spinal, disposable, luer 27G X 10cm cutting",1,NA,Surgical equipment
HH108656,Needle suture intestinal size 4,1,NA,Surgical equipment
HH108660,Needle Suture Intesfying Curved Size 5,1,NA,Surgical equipment
HH108661,Needle Suture Intesfying Curved Size 6,1,NA,Surgical equipment
HH108663,Needle suture Size 1,1,NA,Surgical equipment
HH110710,Otoscope set,1,NA,Surgical equipment
HH110750,Oxygen connecting tubes,1,NA,Surgical equipment
HH110751,Oxygen Concentrator,1,NA,Surgical equipment
HH112550,Pelvimeter,1,NA,Surgical equipment
HH113100,Perfuser line 150cm luer lock,1,N/A,Surgical equipment
HH113400,"Perfuser Syringe, 60ml Disposable",1,N/A,Surgical equipment
HH114050,Pleurilvacs,1,NA,Surgical equipment
HH115201,PowerSpin HXV Centrifuge Speed500-3500 RPM,1,NA,Surgical equipment
HH116400,Pulse oximeter,1,N/A,Surgical equipment
HH117600,Razor safety handle and blade (disposable),1,N/A,Surgical equipment
HH117900,"Resuscitator, baby (ambu), model R with paedi valve",1,N/A,Surgical equipment
HH119100,Retractor (Langenbeck),1,N/A,Surgical equipment
HH121500,Saw electric Cast cutter(oscillating),1,NA,Surgical equipment
HH121800,"Saw, manual amputation",1,N/A,Surgical equipment
HH122100,"Scalp vein set disposable Luer 21g,Carbon steel",1,N/A,Surgical equipment
HH122700,"Scalp vein set disposable Luer 25g,Carbon steel",1,N/A,Surgical equipment
HH123000,"Scalpel blade size 11 (individually wrapped),Carbon steel",1,N/A,Surgical equipment
HH123300,"Scalpel blade size 12 (for VVF) sterile + individually wrapped for VVF, Carbon steel",1,N/A,Surgical equipment
HH123600,"Scalpel blade size 15 (individually wrapped),Carbon steel",1,N/A,Surgical equipment
HH123649,"Scalpel blade size 16 (individually wrapped),Carbon steel",1,NA,Surgical equipment
HH123650,Scalpel Blade Size 18,1,NA,Surgical equipment
HH123900,"Scalpel blade size 20 (individually wrapped),Carbon steel",1,N/A,Surgical equipment
HH124200,"Scalpel blade size 21 (individually wrapped),Carbon steel",1,N/A,Surgical equipment
HH124500,"Scalpel blade size 22 (individually wrapped),Carbon steel",1,N/A,Surgical equipment
HH124800,"Scalpel blade size 23 (individually wrapped),Carbon steel",1,N/A,Surgical equipment
HH125100,"Scalpel blade size 24 (individually wrapped),Carbon steel",1,N/A,Surgical equipment
HH125400,"Scalpel handle size 3 (for blades 10-15),Carbon steel",1,N/A,Surgical equipment
HH125700,"Scalpel handle size 4 (for blades 20-24),Carbon steel",1,N/A,Surgical equipment
HH126000,"Scapel blade size 10 (individually wrapped),Carbon steel",1,N/A,Surgical equipment
HH129900,"Scissors, bandage (Lister) curved 16cm",1,N/A,Surgical equipment
HH130500,"Screws, bone (Sherman) 3.5mm x 16mm",1,N/A,Surgical equipment
HH130800,Sharps disposal receptor(Cardboard),1,N/A,Surgical equipment
HH131100,Sharps disposal receptor(Plastic),1,N/A,Surgical equipment
HH131400,Shears plaster (Lorenz) 48cm,1,N/A,Surgical equipment
HH134100,Spatula Ayer (For Pap Smear),1,NA,Surgical equipment
HH134700,Speculum vaginal (Graves) (medium),1,N/A,Surgical equipment
HH135000,Speculum vaginal (Sims) large,1,N/A,Surgical equipment
HH135300,Speculum vaginal (Sims) medium,1,N/A,Surgical equipment
HH135600,Speculum vaginal (Sims) small,1,N/A,Surgical equipment
HH135900,Speculum vaginal duckbill (Cuscoes) large,1,NA,Surgical equipment
HH136200,Speculum vaginal duckbill (Cuscoes) medium,1,N/A,Surgical equipment
HH136500,Speculum vaginal duckbill (Cuscoes) small,1,N/A,Surgical equipment
HH136800,Sphygmomanometer aneroid,1,N/A,Surgical equipment
HH137100,Sphygmomanometer aneroid on Castrol Adult,1,N/A,Surgical equipment
HH137400,Sphygmomanometer aneroid on Castrol Child,1,N/A,Surgical equipment
HH137700,Sphygmomanometer aneroid Wall Mountable Adult,1,N/A,Surgical equipment
HH138000,Sphygmomanometer aneroid Wall Mountable Child,1,N/A,Surgical equipment
HH138050,Sphygmomanometer Spare bulb,1,NA,Surgical equipment
HH138300,Sphygmomanometer digital on Castrol Adult,1,N/A,Surgical equipment
HH138600,Sphygmomanometer digital on Castrol Child,1,N/A,Surgical equipment
HH138900,Sphygmomanometer digital with adult cuffs,1,N/A,Surgical equipment
HH138950,Sphygmomanometer digital with child cuffs,1,NA,Surgical equipment
HH139200,Sphygmomanometer digital with child cuffs,1,N/A,Surgical equipment
HH139500,"Sphygmomanometer spare cuff, adult",1,N/A,Surgical equipment
HH139800,"Sphygmomanometer spare cuff, child",1,N/A,Surgical equipment
HH140100,"Sphygmomanometer spare cuff, infant",1,N/A,Surgical equipment
HH140400,Sphygmomanometer spare valve,1,N/A,Surgical equipment
HH141000,Squint set,1,NA,Surgical equipment
HH141600,Stethoscope binaural,1,N/A,Surgical equipment
HH141900,Stethoscope binaural chest piece,1,N/A,Surgical equipment
HH142500,Stethoscope foetal (plastic),1,N/A,Surgical equipment
HH142800,Stethoscope foetal heart,1,N/A,Surgical equipment
HH143100,Stethoscope spare ear piece,1,N/A,Surgical equipment
HH144000,"Suction machine, Electric, twin pump (Ambu)",1,N/A,Surgical equipment
HH144300,"Suction machine, foot operated, twin pump (Ambu)",1,N/A,Surgical equipment
HH144600,Syringe bladder disposable 100ml,1,NA,Surgical equipment
HH144900,Syringe ear metal,1,N/A,Surgical equipment
HH145200,Syringe insulin 100 IU with needle,1,N/A,Surgical equipment
HH145500,"Syringe perfuser 60ml, luer lock",1,N/A,Surgical equipment
HH146100,"Syringe perfuser, 60ml, with small nozzle",1,N/A,Surgical equipment
HH146700,"Syringe, 20ml, disposable with 21g needle",1,N/A,Surgical equipment
HH147000,"Syringe, 2ml, disposable, hypoluer with 23g needle",1,N/A,Surgical equipment
HH147300,"Syringe, 2ml, disposable, hypoluer with 25g needle",1,N/A,Surgical equipment
HH147600,"Syringe, 50ml, disposable, with 19g needle",1,N/A,Surgical equipment
HH147900,"Syringe, 5ml, disposable, hypoluer with 21g needle",1,N/A,Surgical equipment
HH148200,"Syringe, 60ml Disposable,luer lock",1,N/A,Surgical equipment
HH148500,"Syringe, 60ml Disposable,with long Nozzle",1,N/A,Surgical equipment
HH148800,"Syringe, autodestruct, 10ml, disposable with 21g needle",1,N/A,Surgical equipment
HH149100,"Syringe, autodestruct, 20ml, disposable with 21g needle",1,N/A,Surgical equipment
HH149400,"Syringe, autodestruct, 2ml, disposable, hypoluer with 23g needle",1,N/A,Surgical equipment
HH149700,"Syringe, autodestruct, 2ml, disposable, hypoluer with 25g needle",1,N/A,Surgical equipment
HH150000,"Syringe, autodestruct, 5ml, disposable, hypoluer with 21g needle",1,N/A,Surgical equipment
HH150300,Syringe disposable ADV front load syringe with hand-fil st,1,NA,Surgical equipment
HH150900,"Syringe,10ml, disposable, hypoluer with 21g needle",1,N/A,Surgical equipment
HH151500,"Tape, umbilical cotton, 3mm x 20m, non-sterile",1,N/A,Surgical equipment
HH151800,"Thermometer clinical rectal,Digital",1,N/A,Surgical equipment
HH152100,"Thermometer,Axillary,Digital",1,N/A,Surgical equipment
HH152400,"Thermometer,Infrared,Digital",1,N/A,Surgical equipment
HH152450,ThermometerDigital 0 to 100 Degrees Celcius,1,NA,Surgical equipment
HH152455,ThermometerDigital -50 to -86 Degrees Celcius,1,NA,Surgical equipment
HH153600,"Tongue depressors, wooden",1,N/A,Surgical equipment
HH154500,"Tourniquet(Pneumatic), with cuff, hand pump and manometer (child)",1,N/A,Surgical equipment
HH155451,"Tube endotracheal, non cuffed fr 30 Cuffed",1,NA,Surgical equipment
HH156000,"Tube endotracheal, non cuffed size 3.0 PVC/Silicon",1,N/A,Surgical equipment
HH156300,"Tube endotracheal, non cuffed size 3.5 PVC/Silicon",1,N/A,Surgical equipment
HH156600,"Tube endotracheal, non cuffed size 4.0 PVC/Silicon",1,N/A,Surgical equipment
HH156900,"Tube endotracheal, non cuffed size 4.5 PVC/Silicon",1,N/A,Surgical equipment
HH157500,"Tube endotracheal, cuffed size 6.0 PVC/Silicon",1,N/A,Surgical equipment
HH157800,"Tube endotracheal, cuffed size 6.5 PVC/Silicon",1,N/A,Surgical equipment
HH158100,"Tube endotracheal, cuffed size 7.0 PVC/Silicon",1,N/A,Surgical equipment
HH158400,"Tube endotracheal, cuffed size 7.5 PVC/Silicon",1,N/A,Surgical equipment
HH158700,"Tube endotracheal, cuffed size 8.0 PVC/Silicon",1,N/A,Surgical equipment
HH159000,"Tube endotracheal, cuffed size 8.5 PVC/Silicon",1,N/A,Surgical equipment
HH159900,"Tube endotracheal, non cuffed size 5.0 PVC/Silicon",1,N/A,Surgical equipment
HH160500,Tube oral gastric (red rubber) FG 24,1,N/A,Surgical equipment
HH162900,"Tube, chest drainage, size 24",1,N/A,Surgical equipment
HH163500,Tube chest drainage size 12,1,NA,Surgical equipment
HH163800,"Tube, chest drainage, size 14",1,N/A,Surgical equipment
HH164100,"Tube, chest drainage, size 16",1,N/A,Surgical equipment
HH164400,"Tube, chest drainage, size 18",1,N/A,Surgical equipment
HH164700,"Tube, chest drainage, size 20",1,N/A,Surgical equipment
HH165000,Tube chest drainage size 22,1,NA,Surgical equipment
HH165300,"Tube, chest drainage, size 26",1,N/A,Surgical equipment
HH165600,"Tube, chest drainage, size 28",1,N/A,Surgical equipment
HH165900,"Tube, chest drainage, size 30",1,N/A,Surgical equipment
HH166500,"Tube, duodenal feeding polythene FG 18",1,N/A,Surgical equipment
HH166800,"Tube, duodenal feeding polythene FG 20",1,N/A,Surgical equipment
HH167100,"Tube, duodenal feeding polythene FG 10",1,N/A,Surgical equipment
HH167400,"Tube, duodenal feeding polythene FG 12",1,N/A,Surgical equipment
HH167700,"Tube, duodenal feeding polythene FG 14",1,N/A,Surgical equipment
HH168000,"Tube, duodenal feeding polythene FG 16",1,N/A,Surgical equipment
HH168300,"Tube, duodenal feeding polythene FG 24",1,N/A,Surgical equipment
HH169500,"Tube, endobronchial suction size 12 (with T-vaccum valve)",1,N/A,Surgical equipment
HH169800,Tube endobronchial suction size 14 (with T-vaccum valve),1,NA,Surgical equipment
HH170400,Tube endobronchial suction size 18 (with T-vaccum valve),1,NA,Surgical equipment
HH171300,"Tube, endotracheal, PVC cuffed, size 5.5mm (reinforced/armud)",1,N/A,Surgical equipment
HH171600,"Tube, endotracheal, PVC cuffed, size 5mm (reinforced/armud)",1,N/A,Surgical equipment
HH171900,"Tube, endotracheal, PVC cuffed, size 6.5mm (reinforced/armud)",1,N/A,Surgical equipment
HH172200,"Tube, endotracheal, PVC cuffed, size 6mm (reinforced/armud)",1,N/A,Surgical equipment
HH172800,"Tube, endotracheal, PVC cuffed, size 7.5mm (reinforced/armoured)",1,N/A,Surgical equipment
HH173100,"Tube, endotracheal, PVC cuffed, size 7mm",1,N/A,Surgical equipment
HH173400,"Tube, endotracheal, PVC cuffed, size 8.5mm (reinforced/armoured)",1,N/A,Surgical equipment
HH173700,"Tube, endotracheal, PVC cuffed, size 8mm",1,N/A,Surgical equipment
HH174000,"Tube, endotracheal, PVC cuffed, size 8mm (reinforced/armoured",1,N/A,Surgical equipment
HH174600,"Tube, feeding CH 6",1,N/A,Surgical equipment
HH174900,"Tube, feeding CH 8",1,N/A,Surgical equipment
HH175200,"Tube, nasogastric FG 10 ( with metal balls at the tip)",1,N/A,Surgical equipment
HH175500,"Tube, nasogastric FG 12 ( with metal balls at the tip)",1,N/A,Surgical equipment
HH175800,"Tube, nasogastric FG 14 ( with metal balls at the tip)",1,N/A,Surgical equipment
HH176100,"Tube, nasogastric FG 16 ( with metal balls at the tip)",1,N/A,Surgical equipment
HH176400,"Tube, nasogastric FG 18 ( with metal balls at the tip)",1,N/A,Surgical equipment
HH176700,"Tube, nasogastric FG 20 ( with metal balls at the tip)",1,N/A,Surgical equipment
HH177000,"Tube, nasogastric FG 22 ( with metal balls at the tip)",1,N/A,Surgical equipment
HH177300,"Tube, nasogastric FG 24 ( with metal balls at the tip)",1,N/A,Surgical equipment
HH177600,"Tube, nasogastric FG 6 ( with metal balls at the tip)",1,N/A,Surgical equipment
HH177900,"Tube, nasogastric FG 8 ( with metal balls at the tip)",1,N/A,Surgical equipment
HH178200,"Tube, pharyngeal suction, adult",1,N/A,Surgical equipment
HH178500,"Tube, pharyngeal suction, child",1,N/A,Surgical equipment
HH182400,"Tube, stomach 75cm EG 16",1,N/A,Surgical equipment
HH182700,Tube stomach 75cm EG 18,1,NA,Surgical equipment
HH183300,"Tube, suction (Poole) (241mm)",1,N/A,Surgical equipment
HH183900,"Tube, tracheostomy, cuffed size 6 with introducer and 15mm connector",1,N/A,Surgical equipment
HH184200,"Tube, tracheostomy, cuffed size 6.5 with introducer and 15mm connector",1,N/A,Surgical equipment
HH184500,"Tube, tracheostomy, cuffed size 7 with introducer and 15mm connector",1,N/A,Surgical equipment
HH184800,"Tube, tracheostomy, cuffed size 7.5 with introducer and 15mm connector",1,N/A,Surgical equipment
HH185100,"Tube, tracheostomy, cuffed size 8 with introducer and 15mm connector",1,N/A,Surgical equipment
HH185400,"Tube, tracheostomy, cuffed size 8.5 with introducer and 15mm connector",1,N/A,Surgical equipment
HH186900,"Tube, tracheostomy, non cuffed size 4.5 with introducer and 15mm connector",1,N/A,Surgical equipment
HH189050,Urine Leg Bags,1,NA,Surgical equipment
HH189600,Vacuum suction drain,1,N/A,Surgical equipment
HH190850,"Venturi face mask,heat moist.exchange,adult",1,NA,Surgical equipment
HH190851,"Venturi face mask,heat moist.exchange,paeds",1,NA,Surgical equipment
HH192300,Wooden applicators Sticks,1,N/A,Surgical equipment
II010800,Eye Drapes with Bag (50 x 40cms ? SICS),1,NA,Opthalmic items
II011400,Eye Pad,1,NA,Opthalmic items
II012000,Eye Shield,1,NA,Opthalmic items
II013200,Forceps Capsulorhexis Angle to Tip 11mm Sharp Tip to be u,1,NA,Opthalmic items
II013500,Forceps Corneal 0.10mm Atraumatic Tips Angled With Tying,1,NA,Opthalmic items
II013800,Forceps Corneal 0.10mm Atraumatic Tips Straight With Tyin,1,NA,Opthalmic items
II014100,Forceps Corneal 1x2 teeth 0.12mm With 6mm Tying Platform,1,NA,Opthalmic items
II014400,Forceps Fine Non-Toothed,1,NA,Opthalmic items
II015000,Forceps Lens Introducing Angle to Tip 8 to 12mm Smooth Ja,1,NA,Opthalmic items
II018900,Knife and handle: 15 degree stab,1,NA,Opthalmic items
II019200,Knife and handle: Crescent Angled Bevel up 2.5mm,1,NA,Opthalmic items
II019500,Knife and Handle: MVR Blade 19 Gauge,1,NA,Opthalmic items
II019800,Knife and handle: Slit/Keratome angle 3.2mm,1,NA,Opthalmic items
II021600,Lens Loop,1,NA,Opthalmic items
II021900,Lens Anterior Chamber Intraocular Lens 4 point fixation +1,1,NA,Opthalmic items
II022200,Lens Anterior Chamber Intraocular Lens 4 point fixation +1,1,NA,Opthalmic items
II022500,Lens Anterior Chamber Intraocular Lens 4 point fixation +1,1,NA,Opthalmic items
II022800,Lens Anterior Chamber Intraocular Lens 4 point fixation +1,1,NA,Opthalmic items
II023100,Lens Anterior Chamber Intraocular Lens 4 point fixation +1,1,NA,Opthalmic items
II023400,Lens Anterior Chamber Intraocular Lens 4 point fixation +1,1,NA,Opthalmic items
II023700,Lens Anterior Chamber Intraocular Lens 4 point fixation +1,1,NA,Opthalmic items
II024000,Lens Anterior Chamber Intraocular Lens 4 point fixation +1,1,NA,Opthalmic items
II024300,Lens Anterior Chamber Intraocular Lens 4 point fixation +1,1,NA,Opthalmic items
II024600,Lens Anterior Chamber Intraocular Lens 4 point fixation +1,1,NA,Opthalmic items
II024900,Lens Anterior Chamber Intraocular Lens 4 point fixation +1,1,NA,Opthalmic items
II025200,Lens Anterior Chamber Intraocular Lens 4 point fixation +1,1,NA,Opthalmic items
II025500,Lens Posterior Chamber Intraocular Lens +17.0D Foldable,1,NA,Opthalmic items
II026400,Lens Posterior Chamber Intraocular Lens +17.0D Non-foldab,1,NA,Opthalmic items
II026700,Lens Posterior Chamber Intraocular Lens +17.5D Foldable,1,NA,Opthalmic items
II027600,Lens Posterior Chamber Intraocular Lens +17.5D Non-foldab,1,NA,Opthalmic items
II028800,Lens Posterior Chamber Intraocular Lens +18.0D Non-foldab,1,NA,Opthalmic items
II029100,Lens Posterior Chamber Intraocular Lens +18.5D Foldable,1,NA,Opthalmic items
II030000,Lens Posterior Chamber Intraocular Lens +18.5D Non-foldab,1,NA,Opthalmic items
II031200,Lens Posterior Chamber Intraocular Lens +19.0D Non-foldab,1,NA,Opthalmic items
II032100,Lens Posterior Chamber Intraocular Lens +19.5D Foldable,1,NA,Opthalmic items
II032400,Lens Posterior Chamber Intraocular Lens +19.5D Non-foldab,1,NA,Opthalmic items
II033600,Lens Posterior Chamber Intraocular Lens +20.0D Non-foldab,1,NA,Opthalmic items
II033900,Lens Posterior Chamber Intraocular Lens +20.5D Foldable,1,NA,Opthalmic items
II034800,Lens Posterior Chamber Intraocular Lens +20.5D Non-foldab,1,NA,Opthalmic items
II035100,Lens Posterior Chamber Intraocular Lens +21.0D Foldable,1,NA,Opthalmic items
II036000,Lens Posterior Chamber Intraocular Lens +21.0D Non-foldab,1,NA,Opthalmic items
II037200,Lens Posterior Chamber Intraocular Lens +21.5D Non-foldab,1,NA,Opthalmic items
II038400,Lens Posterior Chamber Intraocular Lens +22.0D Non-foldab,1,NA,Opthalmic items
II038700,Lens Posterior Chamber Intraocular Lens +22.5D Foldable,1,NA,Opthalmic items
II039600,Lens Posterior Chamber Intraocular Lens +22.5D Non-foldab,1,NA,Opthalmic items
II040800,Lens Posterior Chamber Intraocular Lens +23.0D Non-foldab,1,NA,Opthalmic items
II041400,Lens Posterior Chamber Intraocular Lens +23.5D Non-folda,1,NA,Opthalmic items
II042000,Lens Posterior Chamber Intraocular Lens +23.5D Non-foldab,1,NA,Opthalmic items
II042300,Lens Posterior Chamber Intraocular Lens +24.0D Foldable,1,NA,Opthalmic items
II043200,Lens Posterior Chamber Intraocular Lens +24.0D Non-foldab,1,NA,Opthalmic items
II043500,Lens Posterior Chamber Intraocular Lens +24.5D Foldable,1,NA,Opthalmic items
II044400,Lens Posterior Chamber Intraocular Lens +24.5D Non-foldab,1,NA,Opthalmic items
II044700,Lens Posterior Chamber Intraocular Lens +25.0D Foldable,1,NA,Opthalmic items
II045600,Lens Posterior Chamber Intraocular Lens +25.0D Non-foldab,1,NA,Opthalmic items
II046500,Lid Retractors (2 pcs),1,NA,Opthalmic items
II051300,Rose Bengal Ophthalmic strips,1,NA,Opthalmic items
II051600,Schirmer Tear Test strips,1,NA,Opthalmic items
II056100,Speculum Child Wire 8mm blades,1,NA,Opthalmic items
II059100,Viscoelastic HPMC 2% of 2ml (Pre filled syringe ? with Cannu,1,NA,Opthalmic items
KK000300,"Bag tablet dispensing, polythene, disposable 10x 12 cm",1,N/A,Dispensary items
